text,label
"Breaking: The President signs a new economic relief bill into law.",0
"Scientists discover a new treatment for COVID-19 with 100% effectiveness.",0
"Aliens have landed in the Himalayas, says secret government report.",1
"Donald Trump arrested in New York over UFO cover-up claims.",1
"NASA confirms Earth is flat in leaked documents.",1
"The stock market reached an all-time high today.",0
"Doctors warn against using bleach as a COVID cure.",0
"New world order declared by secret elite group.",1
"Pfizer vaccine found to be 99% effective against COVID variants.",0
"Ancient pyramids in Antarctica discovered by Google Earth.",1
